"1"	"How"	"How did the crew first now the Borg where on board the Enterprise?"	""	""	""	""	"Enviormental systems in engeneering went of line"	""
"2"	"How"	"How long dose Data say he was tempted by the Borg Queens offer?"	""	""	""	""	"0.68 seconds"	""
"3"	"How"	"How many shots dose Worf say they will have before the Borg adapt?"	""	""	""	""	"12 at most"	""
"4"	"How"	"How many wives did Sarek have?"	""	""	""	""	"3"	""
"5"	"What"	"What Admiral was in command of the fleet defending earth?"	""	""	""	""	"Hayes"	""
"6"	"What"	"What chapter in dixion hill does Picard get the tommy gun"	""	""	""	""	"13"	""
"7"	"What"	"What colour is a Vulcan's blood?"	""	""	""	""	"Green"	""
"8"	"What"	"What colour shirt does Sulu wear?"	""	""	""	""	"Yellow"	""
"9"	"What"	"What craft had the designation ""NCC-1701/7?"""	""	""	""	""	"Shuttlecraft Gallelio"	""
"10"	"What"	"What do Rom and Quark call their mother?"	""	""	""	""	"Moogie"	""
"11"	"What"	"What Is Kirk's Ship registered as?"	""	""	""	""	"NCC-1701"	""
"12"	"What"	"What is the Name of Benjamin Sisco's ship ?"	""	""	""	""	"The Defiant"	""
"13"	"What"	"What is the name of Data's brother?"	""	""	""	""	"Lore"	""
"14"	"What"	"What is the Name of Picard's Brother ?"	""	""	""	""	"Robert"	""
"15"	"What"	"What job does Cadet Uhura do on the USS Enterprise?"	""	""	""	""	"Telecomunications Officer"	""
"16"	"What"	"What race was destroyed by ""Kevin Uxbridge"" in TNG episode ""The Survivors?"""	""	""	""	""	"Husnocks"	""
"17"	"What"	"What song did Cochrane Play when they launch the phoenix ?"	""	""	""	""	"Magic carpet ride"	""
"18"	"What"	"What species is Neelix?"	""	""	""	""	"Telaxian"	""
"19"	"What"	"What sport did Captain Sisko play?"	""	""	""	""	"Baseball"	""
"20"	"What"	"What test was administered to ""Data"" by starfleet to prove he was a sentient being?"	""	""	""	""	"Turing Test Of Sentient Ability"	""
"21"	"What"	"What was Picard's Borg Name?"	""	""	""	""	"Locutus of Borg"	""
"22"	"What"	"What was the name of the evil Romulan who destroyed Vulcan?"	""	""	""	""	"Nero"	""
"23"	"What"	"What was the name of the official Deep Space Nine baseball team?"	""	""	""	""	"The Niners"	""
"24"	"What"	"What was the starship called that was destroyed by romulans at the beginning of the film?"	""	""	""	""	"USS Kelvin"	""
"25"	"When"	"When was first contact?"	""	""	""	""	"April 5th 2063"	""
"26"	"Where"	"Where did ""Edith Keeler"" work to feed the homeless?"	""	""	""	""	"21st Street Mission"	""
"27"	"Where"	"Where did Captain Janeway chase the Marquis ship ?"	""	""	""	""	"The Badlands"	""
"28"	"Where"	"Where did Picard say the fleet was mobilizing at?"	""	""	""	""	"Typhon sector"	""
"29"	"Where"	"Where was Picard Born ?"	""	""	""	""	"LaBarre, France"	""
"30"	"Where"	"Where was the EMH program designed?"	""	""	""	""	"The Jupiter Station"	""
"31"	"Which"	"Which actor play's Spock?"	""	""	""	""	"Zachary Quinto"	""
"32"	"Which"	"Which actor plays Chakotay ?"	""	""	""	""	"Robert Beltran"	""
"33"	"Which"	"Which actor plays Chekov?"	""	""	""	""	"Anton Yelchin"	""
"34"	"Which"	"Which actor plays Doctor Phlox ?"	""	""	""	""	"John Billingsley"	""
"35"	"Which"	"Which actor plays Khan ?"	""	""	""	""	"Ricardo Montablan"	""
"36"	"Which"	"Which actor plays Quark ?"	""	""	""	""	"Armin Shimerman"	""
"37"	"Which"	"Which actor plays Tuvok ?"	""	""	""	""	"Tim Russ"	""
"38"	"Which"	"Which actress plays Captain Janeway ?"	""	""	""	""	"Kate Mulgrew"	""
"39"	"Which"	"Which actress plays Kes ?"	""	""	""	""	"Jennifer Lien"	""
